2I,483,57,1087681,1219407
2I,483,58,1069505,1207408
2I,483,59,1071533,1220136
2I,483,60,1031415,1186748
2I,483,61,1062568,1211507
2I,483,62,981177,1125004
2I,483,63,938234,1081324
2I,483,64,916547,1082373
2I,483,65,912593,1087391
2I,483,66,835968,1024611
2I,483,67,806613,998141
2I,483,68,763677,970948
2I,483,69,738157,967825
2I,483,70,693171,918107
2I,483,71,653736,883889
2I,483,72,608996,840619
2I,483,73,559389,793457
2I,483,74,528474,773276
2I,483,75,485425,726674
2I,483,76,439497,681952
2I,483,77,398766,641591
2I,483,78,358642,594990
2I,483,79,322201,551259
2I,483,80,278949,498118
2I,483,81,242487,451127
2I,483,82,213132,404294
2I,483,83,190906,376094
2I,483,84,168123,344268
2I,483,85,725784,1766039
2I,484,0,1837851,1753564
2I,484,1,1815328,1732328
2I,484,2,1794651,1715047
2I,484,3,1800881,1721341
2I,484,4,1785190,1707732
2I,484,5,1714283,1637855
2I,484,6,1695255,1618531
2I,484,7,1668653,1591172
2I,484,8,1578779,1502763
2I,484,9,1664224,1582762
2I,484,10,1655577,1574156
2I,484,11,1684168,1609261
2I,484,12,1797797,1719860
2I,484,13,1946786,1859893
2I,484,14,1901631,1815079
2I,484,15,1866823,1784555
2I,484,16,1843740,1761637
2I,484,17,1910802,1821759
2I,484,18,1931732,1866997
2I,484,19,2132344,2092559
2I,484,20,2174815,2130020
2I,484,21,2150767,2115422
2I,484,22,2163412,2131217
2I,484,23,2166493,2150508
2I,484,24,2194453,2175607
2I,484,25,2187121,2177789
2I,484,26,2186265,2182041
2I,484,27,2157087,2154641
2I,484,28,2014180,2026063
2I,484,29,2149026,2150234
2I,484,30,2053555,2074772
2I,484,31,1959523,1989441
2I,484,32,1931063,1961454
2I,484,33,1811702,1856667
2I,484,34,1858632,1888564
2I,484,35,1809651,1853902
2I,484,36,1808136,1866039
2I,484,37,1811958,1866889
2I,484,38,1324186,1377496
2I,484,39,1462793,1506163
2I,484,40,1474816,1529659
2I,484,41,1450155,1500938
2I,484,42,1294665,1343457
2I,484,43,1215208,1269393
2I,484,44,1194690,1240860
2I,484,45,1170759,1220410
2I,484,46,1141185,1195808
2I,484,47,1100503,1157394
2I,484,48,1045291,1098874
2I,484,49,1126620,1178428
2I,484,50,1031763,1098351
2I,484,51,1020467,1089558
2I,484,52,1044907,1123745
2I,484,53,1088823,1170710
2I,484,54,1115190,1191214
2I,484,55,1076638,1181865
2I,484,56,1105524,1214802
2I,484,57,1084052,1214863
2I,484,58,1026468,1159922
2I,484,59,1086908,1235875
2I,484,60,1053399,1212592
2I,484,61,1004344,1156161
2I,484,62,1020854,1174485
2I,484,63,982295,1123404
2I,484,64,937743,1101190
2I,484,65,893596,1070523
2I,484,66,875587,1056814
2I,484,67,820485,1020981
2I,484,68,764512,964367
2I,484,69,745276,976451
2I,484,70,701056,929615
2I,484,71,665159,899175
2I,484,72,619280,854689
2I,484,73,572505,809689
2I,484,74,541302,790621
2I,484,75,498130,744372
2I,484,76,449990,697539
2I,484,77,409726,658862
2I,484,78,368833,610992
2I,484,79,331754,568747
2I,484,80,286687,512492
2I,484,81,248586,463916
2I,484,82,219558,417693
