age,country-sex,survival
61,US-Females,0.90696
61,China-Males,0.939063025
61,China-Females,0.970997384
62,UK-Males,0.89475
62,UK-Females,0.931295
62,US-Males,0.83818
62,US-Females,0.90043
62,China-Males,0.934335782
62,China-Females,0.968510659
63,UK-Males,0.886407
63,UK-Females,0.925445
63,US-Males,0.82711
63,US-Females,0.89345
63,China-Males,0.92924552
63,China-Females,0.965763963
64,UK-Males,0.877114
64,UK-Females,0.919101
64,US-Males,0.81547
64,US-Females,0.88599
64,China-Males,0.923754609
64,China-Females,0.962734362
65,UK-Males,0.867074
65,UK-Females,0.912376
65,US-Males,0.8033
65,US-Females,0.878
65,China-Males,0.917822257
65,China-Females,0.959395599
66,UK-Males,0.856458
66,UK-Females,0.905188
66,US-Males,0.7906
66,US-Females,0.86944
66,China-Males,0.911408515
66,China-Females,0.955716317
67,UK-Males,0.8449
67,UK-Females,0.897148
67,US-Males,0.77733
67,US-Females,0.86026
67,China-Males,0.904472696
67,China-Females,0.951650699
68,UK-Males,0.832565
68,UK-Females,0.888528
68,US-Males,0.76342
68,US-Females,0.85041
68,China-Males,0.896972808
68,China-Females,0.947139875
69,UK-Males,0.819571
69,UK-Females,0.87933
69,US-Males,0.74876
69,US-Females,0.83979
69,China-Males,0.888858792
69,China-Females,0.94211814
70,UK-Males,0.805451
70,UK-Females,0.869204
70,US-Males,0.73317
70,US-Females,0.82827
70,China-Males,0.880061757
70,China-Females,0.936519131
71,UK-Males,0.790279
71,UK-Females,0.858191
71,US-Males,0.71646
71,US-Females,0.81568
71,China-Males,0.870479644
71,China-Females,0.930281914
72,UK-Males,0.773441
72,UK-Females,0.845971
72,US-Males,0.69852
72,US-Females,0.8019
72,China-Males,0.85996425
72,China-Females,0.923342011
73,UK-Males,0.755229
73,UK-Females,0.832528
73,US-Males,0.67942
73,US-Females,0.7869
73,China-Males,0.848311735
73,China-Females,0.915614562
74,UK-Males,0.735582
74,UK-Females,0.817598
74,US-Males,0.65917
74,US-Females,0.77076
74,China-Males,0.835258762
74,China-Females,0.906974823
75,UK-Males,0.71382
75,UK-Females,0.801518
75,US-Males,0.63777
75,US-Females,0.7534
75,China-Males,0.820486376
75,China-Females,0.897242983
76,UK-Males,0.690302
76,UK-Females,0.783696
76,US-Males,0.6152
76,US-Females,0.73473
76,China-Males,0.803634406
76,China-Females,0.886178182
77,UK-Males,0.665158
77,UK-Females,0.763742
77,US-Males,0.59133
77,US-Females,0.71466
77,China-Males,0.784333518
77,China-Females,0.873492542
78,UK-Males,0.638645
78,UK-Females,0.742772
78,US-Males,0.56618
78,US-Females,0.69301
78,China-Males,0.762245118
78,China-Females,0.858875517
79,UK-Males,0.610489
79,UK-Females,0.719457
79,US-Males,0.53965
79,US-Females,0.66956
79,China-Males,0.737107798
79,China-Females,0.842025239
80,UK-Males,0.580448
80,UK-Females,0.694549
80,US-Males,0.51163
80,US-Females,0.64422
80,China-Males,0.708775586
80,China-Females,0.822683077
81,UK-Males,0.548395
81,UK-Females,0.666987
81,US-Males,0.48215
81,US-Females,0.61702
81,China-Males,0.677240742
81,China-Females,0.800659851
82,UK-Males,0.514729
82,UK-Females,0.637226
82,US-Males,0.45128
82,US-Females,0.58802
82,China-Males,0.642643222
82,China-Females,0.775848203
83,UK-Males,0.479062
83,UK-Females,0.604676
83,US-Males,0.41929
83,US-Females,0.55701
83,China-Males,0.605258738
83,China-Females,0.748229559
84,UK-Males,0.44144
84,UK-Females,0.569348
84,US-Males,0.3865
84,US-Females,0.52413
84,China-Males,0.565479923
84,China-Females,0.717869396
85,UK-Males,0.402731
85,UK-Females,0.531378
85,US-Males,0.3529
85,US-Females,0.48948
85,China-Males,0.523787654
85,China-Females,0.684908423
86,UK-Males,0.363187
86,UK-Females,0.491548
86,US-Males,0.31894
86,US-Females,0.45338
86,China-Males,0.480720262
86,China-Females,0.649556189
87,UK-Males,0.323414
87,UK-Females,0.449545
87,US-Males,0.28461
87,US-Females,0.41569
87,China-Males,0.436859826
87,China-Females,0.612111873
88,UK-Males,0.283832
88,UK-Females,0.406186
88,US-Males,0.25042
88,US-Females,0.37684
88,China-Males,0.392780669
88,China-Females,0.572885296
89,UK-Males,0.244929
89,UK-Females,0.36152
89,US-Males,0.21694
89,US-Females,0.33732
89,China-Males,0.349055932
89,China-Females,0.532243667
90,UK-Males,0.207931
90,UK-Females,0.316824
90,US-Males,0.18475
90,US-Females,0.29772
90,China-Males,0.306258883
90,China-Females,0.490600391
91,UK-Males,0.172844
91,UK-Females,0.272662
91,US-Males,0.15442
91,US-Females,0.2587
91,China-Males,0.264953747
91,China-Females,0.448407285
92,UK-Males,0.140695
92,UK-Females,0.230514
92,US-Males,0.12646
92,US-Females,0.22096
92,China-Males,0.225684422
92,China-Females,0.406145347
93,UK-Males,0.112325
93,UK-Females,0.190953
93,US-Males,0.10128
93,US-Females,0.18519
93,China-Males,0.188956088
93,China-Females,0.364311564
94,UK-Males,0.087535
94,UK-Females,0.154982
94,US-Males,0.07921
94,US-Females,0.15203
94,China-Males,0.155214955
94,China-Females,0.323406297
95,UK-Males,0.066261
95,UK-Females,0.122503
95,US-Males,0.06037
95,US-Females,0.12204
95,China-Males,0.124824954
95,China-Females,0.283915478
96,UK-Males,0.048532
96,UK-Females,0.093875
96,US-Males,0.04477
96,US-Females,0.0956
96,China-Males,0.098050126
96,China-Females,0.24628532
97,UK-Males,0.034576
97,UK-Females,0.070113
97,US-Males,0.03225
97,US-Females,0.07296
97,China-Males,0.075042664
97,China-Females,0.210880082
98,UK-Males,0.024021
98,UK-Females,0.051307
98,US-Males,0.02254
98,US-Females,0.05415
98,China-Males,0.055818234
98,China-Females,0.177987217
99,UK-Males,0.016489
99,UK-Females,0.036737
99,US-Males,0.01525
99,US-Females,0.03901
99,China-Males,0.040243551
99,China-Females,0.147832445
100,UK-Males,0.010741
100,UK-Females,0.025172
100,US-Males,0.00999
100,US-Females,0.02724
100,China-Males,0.028044926
100,China-Females,0.120586778
