84,681417,223762,457655
85,3410631,941843,2468788
0,3858262,1975203,1883059
1,3900186,1996740,1903446
2,3973204,2031092,1942112
3,4034620,2064575,1970045
4,4020946,2058189,1962757
5,3878296,1986357,1891939
6,3799198,1943251,1855947
7,3756011,1921622,1834389
8,3680540,1885397,1795143
9,3789299,1940995,1848304
10,3783878,1940704,1843174
11,3817232,1954465,1862767
12,3792481,1941619,1850862
13,3797696,1944538,1853158
14,3741572,1919585,1821987
15,3617868,1859593,1758275
16,3586130,1847999,1738131
17,3529837,1823355,1706482
18,3433679,1760925,1672754
19,3602288,1839835,1762453
20,3527295,1802282,1725013
21,3568564,1820907,1747657
22,3730929,1898787,1832142
23,3970459,2013459,1957000
24,3931637,1990729,1940908
25,3860236,1952188,1908048
26,3773213,1898850,1874363
27,3917669,1968805,1948864
28,3890105,1954101,1936004
29,4364220,2189338,2174882
30,4499693,2262449,2237244
31,4416374,2212302,2204072
32,4531497,2269164,2262333
33,4522072,2256566,2265506
34,4612918,2312366,2300552
35,4603146,2301107,2302039
36,4507523,2243274,2264249
37,4417483,2197390,2220093
38,4158579,2061238,2097341
39,4360782,2167242,2193540
40,4210224,2086687,2123537
41,3985002,1966163,2018839
42,3920234,1936005,1984229
43,3692369,1814320,1878049
44,3733902,1846095,1887807
45,3682534,1815738,1866796
46,3649111,1793110,1856001
47,3658300,1798893,1859407
48,2687165,1311905,1375260
49,2934388,1438188,1496200
50,2976981,1456819,1520162
51,2904560,1419741,1484819
52,2582740,1256837,1325903
53,2426466,1177515,1248951
54,2376134,1153052,1223082
55,2324639,1123257,1201382
56,2261915,1089182,1172733
57,2154009,1033256,1120753
58,2068940,990087,1078853
59,2161801,1035675,1126126
60,1985400,940905,1044495
61,1966238,929949,1036289
62,2019410,948689,1070721
63,2083762,977561,1106201
64,2105724,986672,1119052
65,2068997,951933,1117064
66,2087202,955109,1132093
67,2010206,906077,1104129
68,1913178,855425,1057753
69,1940695,858438,1082257
70,1878041,823486,1054555
71,1793779,782700,1011079
72,1815702,790748,1024954
73,1695618,730411,965207
74,1561001,657302,903699
75,1482840,614507,868333
76,1371574,558027,813547
77,1300236,523434,776802
78,1242409,487044,755365
79,1167360,446688,720672
80,1060057,392620,667437
81,966810,348961,617849
82,854031,303650,550381
83,776762,261043,515719
84,696619,230196,466423
85,3525355,975145,2550210
0,3795533,1943198,1852335
1,3851042,1969961,1881081
2,3913560,2004737,1908823
3,4006650,2047572,1959078
4,4113417,2105414,2008003
5,4034558,2066477,1968081
6,3885079,1988836,1896243
7,3836164,1961858,1874306
8,3698335,1893094,1805241
9,3865083,1981907,1883176
10,3849451,1972826,1876625
11,3771812,1932262,1839550
12,3854704,1973158,1881546
13,3835856,1964008,1871848
14,3843476,1971785,1871691
15,3797341,1951606,1845735
16,3651439,1882128,1769311
17,3647767,1885030,1762737
18,3533924,1812989,1720935
19,3594786,1836294,1758492
20,3600190,1841353,1758837
21,3480063,1778028,1702035
22,3514486,1790153,1724333
23,3740370,1898569,1841801
24,4060181,2053046,2007135
25,3982906,2014083,1968823
26,3853061,1939456,1913605
27,3851340,1939215,1912125
28,3825732,1920460,1905272
29,4135256,2077155,2058101
30,4411008,2216210,2194798
31,4390532,2202385,2188147
